,ensid,symbol
0,ENSG00000000419,DPM1
1,ENSG00000001036,FUCA2
2,ENSG00000001084,GCLC
3,ENSG00000001630,CYP51A1
4,ENSG00000002549,LAP3
5,ENSG00000002726,AOC1
6,ENSG00000003137,CYP26B1
7,ENSG00000004455,AK2
8,ENSG00000004660,CAMKK1
9,ENSG00000004700,RECQL
10,ENSG00000004779,NDUFAB1
11,ENSG00000004864,SLC25A13
12,ENSG00000004961,HCCS
13,ENSG00000005022,SLC25A5
14,ENSG00000005075,POLR2J
15,ENSG00000005249,PRKAR2B
16,ENSG00000005469,CROT
17,ENSG00000005483,KMT2E
18,ENSG00000005882,PDK2
19,ENSG00000006432,MAP3K9
20,ENSG00000006530,AGK
21,ENSG00000006534,ALDH3B1
22,ENSG00000006625,GGCT
23,ENSG00000006695,COX10
24,ENSG00000006756,ARSD
25,ENSG00000007047,MARK4
26,ENSG00000007168,PAFAH1B1
27,ENSG00000007541,PIGQ
28,ENSG00000008128,CDK11A
29,ENSG00000008130,NADK
30,ENSG00000008300,CELSR3
31,ENSG00000008311,AASS
32,ENSG00000008394,MGST1
33,ENSG00000008513,ST3GAL1
34,ENSG00000009413,REV3L
35,ENSG00000010219,DYRK4
36,ENSG00000010256,UQCRC1
37,ENSG00000010404,IDS
38,ENSG00000010810,FYN
39,ENSG00000011009,LYPLA2
40,ENSG00000011052,NME1-NME2
41,ENSG00000011198,ABHD5
42,ENSG00000011376,LARS2
43,ENSG00000011405,PIK3C2A
44,ENSG00000011485,PPP5C
45,ENSG00000011566,MAP4K3
46,ENSG00000012232,EXTL3
47,ENSG00000012660,ELOVL5
48,ENSG00000012779,ALOX5
49,ENSG00000012983,MAP4K5
50,ENSG00000013288,MAN2B2
51,ENSG00000013375,PGM3
52,ENSG00000013392,RWDD2A
53,ENSG00000013441,CLK1
54,ENSG00000013503,POLR3B
55,ENSG00000013573,DDX11
56,ENSG00000014138,POLA2
57,ENSG00000014641,MDH1
58,ENSG00000014919,COX15
59,ENSG00000015532,XYLT2
60,ENSG00000016391,CHDH
61,ENSG00000016864,GLT8D1
62,ENSG00000017260,ATP2C1
63,ENSG00000018510,AGPS
64,ENSG00000019186,CYP24A1
65,ENSG00000021461,CYP3A43
66,ENSG00000021488,SLC7A9
67,ENSG00000021574,SPAST
68,ENSG00000021826,CPS1
69,ENSG00000023041,ZDHHC6
70,ENSG00000023228,NDUFS1
71,ENSG00000023330,ALAS1
72,ENSG00000023572,GLRX2
73,ENSG00000023697,DERA
74,ENSG00000023909,GCLM
75,ENSG00000025800,KPNA6
76,ENSG00000026103,FAS
77,ENSG00000026652,AGPAT4
78,ENSG00000027075,PRKCH
79,ENSG00000027847,B4GALT7
80,ENSG00000030066,NUP160
81,ENSG00000031698,SARS1
82,ENSG00000032444,PNPLA6
83,ENSG00000033011,ALG1
84,ENSG00000033100,CHPF2
85,ENSG00000033170,FUT8
86,ENSG00000033627,ATP6V0A1
87,ENSG00000033867,SLC4A7
88,ENSG00000034152,MAP2K3
89,ENSG00000035664,DAPK2
90,ENSG00000035687,ADSS2
91,ENSG00000036530,CYP46A1
92,ENSG00000037757,MRI1
93,ENSG00000038002,AGA
