acetaldehyde|c	ethanol|c	ADH7 ADH4 ADH1A ZADH2 ADH5 ADHFE1 AKR1A1 CYP2E1 ADH1C ADH1B ADH6
acetate|c	acetyl-CoA|c	KAT7 NAA11 NAT8 HSD17B10 AMACR ELOVL5 ZDHHC11 HADHB ACOT4 NAA10 ZDHHC8 ACOT8 HMGCS1 KAT8 CPT1C SATL1 MBOAT4 NAA80 CREBBP LCLAT1 LIPT1 ACAT2 ELOVL6 KAT2A ZDHHC7 ACLY ACSF2 CDY2B NAA40 ACOT2 SAT2 SLC27A4 OGA LPCAT2 ZDHHC20 HAT1 ACOT12 ECHS1 ZDHHC9 ESCO1 ELP3 PLAAT2 ACOX1 NAA30 ZDHHC19 ELOVL3 CDY2A ELOVL4 ZDHHC12 NCOA3 ZDHHC1 PLA2G15 ACOX3 NAA60 NCOA1 ACSS2 ACOT7 SH3GLB1 NAA50 AANAT GTF3C4 PORCN CDY1B BAAT HHAT CDY1 HSD17B4 ZDHHC2 ZDHHC21 ZDHHC22 NAT9 ELOVL7 ZDHHC5 ZDHHC18 ACOT1 EP300 CPT1A ACSF3 MBOAT1 ZDHHC6 NAT14 KAT6B HGSNAT ZDHHC11B NAA20 GLYATL3 SLC33A1 MBOAT2 LPCAT1 YKT6 ELOVL2 SLC27A1 ZDHHC16 NAA15 HADH ZDHHC15 LPCAT4 ZDHHC4 GNPNAT1 NAT10 FASN SAT1 ACAA1 ESCO2 NAT1 SLC27A2 KAT5 ZDHHC24 HADHA CLOCK SLC27A3 NAT16 LPGAT1 ZDHHC14 PNPLA3 ACAA2 LPCAT3 ZDHHC3 NAT2 MBOAT7 KAT2B KAT6A ZDHHC13 ZDHHC23 ZDHHC17 CHAT CPT1B ELOVL1 DGAT2L6 AASDH
CoA|c	acetate|c	KAT7 NAA11 NAT8 HSD17B10 AMACR ELOVL5 ZDHHC11 HADHB ACOT4 NAA10 ZDHHC8 ACOT8 HMGCS1 KAT8 CPT1C SATL1 MBOAT4 NAA80 CREBBP LCLAT1 LIPT1 ACAT2 ELOVL6 KAT2A ZDHHC7 ACLY ACSF2 CDY2B NAA40 ACOT2 SAT2 SLC27A4 OGA LPCAT2 ZDHHC20 HAT1 ACOT12 ECHS1 ZDHHC9 ESCO1 ELP3 PLAAT2 ACOX1 NAA30 ZDHHC19 ELOVL3 CDY2A ELOVL4 ZDHHC12 NCOA3 ZDHHC1 PLA2G15 ACOX3 NAA60 NCOA1 ACSS2 ACOT7 SH3GLB1 NAA50 AANAT GTF3C4 PORCN CDY1B BAAT HHAT CDY1 HSD17B4 ZDHHC2 ZDHHC21 ZDHHC22 NAT9 ELOVL7 ZDHHC5 ZDHHC18 ACOT1 EP300 CPT1A ACSF3 MBOAT1 ZDHHC6 NAT14 KAT6B HGSNAT ZDHHC11B NAA20 GLYATL3 SLC33A1 MBOAT2 LPCAT1 YKT6 ELOVL2 SLC27A1 ZDHHC16 NAA15 HADH ZDHHC15 LPCAT4 ZDHHC4 GNPNAT1 NAT10 FASN SAT1 ACAA1 ESCO2 NAT1 SLC27A2 KAT5 ZDHHC24 HADHA CLOCK SLC27A3 NAT16 LPGAT1 ZDHHC14 PNPLA3 ACAA2 LPCAT3 ZDHHC3 NAT2 MBOAT7 KAT2B KAT6A ZDHHC13 ZDHHC23 ZDHHC17 CHAT CPT1B ELOVL1 DGAT2L6 AASDH
CoA|c	acetyl-CoA|c	KAT7 NAA11 NAT8 HSD17B10 AMACR ELOVL5 ZDHHC11 HADHB ACOT4 NAA10 ZDHHC8 ACOT8 HMGCS1 KAT8 CPT1C SATL1 MBOAT4 NAA80 CREBBP LCLAT1 LIPT1 ACAT2 ELOVL6 KAT2A ZDHHC7 ACLY ACSF2 CDY2B NAA40 ACOT2 SAT2 SLC27A4 OGA LPCAT2 ZDHHC20 HAT1 ACOT12 ECHS1 ZDHHC9 ESCO1 ELP3 PLAAT2 ACOX1 NAA30 ZDHHC19 ELOVL3 CDY2A ELOVL4 ZDHHC12 NCOA3 ZDHHC1 PLA2G15 ACOX3 NAA60 NCOA1 ACSS2 ACOT7 SH3GLB1 NAA50 AANAT GTF3C4 PORCN CDY1B BAAT HHAT CDY1 HSD17B4 ZDHHC2 ZDHHC21 ZDHHC22 NAT9 ELOVL7 ZDHHC5 ZDHHC18 ACOT1 EP300 CPT1A ACSF3 MBOAT1 ZDHHC6 NAT14 KAT6B HGSNAT ZDHHC11B NAA20 GLYATL3 SLC33A1 MBOAT2 LPCAT1 YKT6 ELOVL2 SLC27A1 ZDHHC16 NAA15 HADH ZDHHC15 LPCAT4 ZDHHC4 GNPNAT1 NAT10 FASN SAT1 ACAA1 ESCO2 NAT1 SLC27A2 KAT5 ZDHHC24 HADHA CLOCK SLC27A3 NAT16 LPGAT1 ZDHHC14 PNPLA3 ACAA2 LPCAT3 ZDHHC3 NAT2 MBOAT7 KAT2B KAT6A ZDHHC13 ZDHHC23 ZDHHC17 CHAT CPT1B ELOVL1 DGAT2L6 AASDH
CoA|m	acetyl-CoA|m	ACSF2 PDHA2 ACOT2 SLC27A4 ACAA1 ACOT1 HSD17B10 ACADM ACOT12 ECHS1 AMACR GCAT ACOX1 SLC27A2 ACSF3 ACSS3 DECR1 HMGCS2 CS HADHA HADHB ACOX3 ALDH6A1 SLC27A3 ACOT4 ACADS PDHB ACAA2 ACOT7 ACOT8 NAT8L CRAT DECR2 SLC27A1 ECI1 DLAT ACADVL ECI2 ACSS1 BAAT NAGS ACAT1 ACADL PDHA1 PDHX HADH HSD17B4 CPT2 ACAD9 AASDH DLD
CoA|m	acetate|m	ACSF2 PDHA2 ACOT2 SLC27A4 ACAA1 ACOT1 HSD17B10 ACADM ACOT12 ECHS1 AMACR GCAT ACOX1 SLC27A2 ACSF3 ACSS3 DECR1 HMGCS2 CS HADHA HADHB ACOX3 ALDH6A1 SLC27A3 ACOT4 ACADS PDHB ACAA2 ACOT7 ACOT8 NAT8L CRAT DECR2 SLC27A1 ECI1 DLAT ACADVL ECI2 ACSS1 BAAT NAGS ACAT1 ACADL PDHA1 PDHX HADH HSD17B4 CPT2 ACAD9 AASDH DLD
acetate|m	acetyl-CoA|m	ACSF2 PDHA2 ACOT2 SLC27A4 ACAA1 ACOT1 HSD17B10 ACADM ACOT12 ECHS1 AMACR GCAT ACOX1 SLC27A2 ACSF3 ACSS3 DECR1 HMGCS2 CS HADHA HADHB ACOX3 ALDH6A1 SLC27A3 ACOT4 ACADS PDHB ACAA2 ACOT7 ACOT8 NAT8L CRAT DECR2 SLC27A1 ECI1 DLAT ACADVL ECI2 ACSS1 BAAT NAGS ACAT1 ACADL PDHA1 PDHX HADH HSD17B4 CPT2 ACAD9 AASDH DLD
acetyl adenylate|c	acetyl-CoA|c	ACSS2
CoA|c	acetyl adenylate|c	ACSS2
acetate|c	acetyl adenylate|c	ACSS2
CoA|m	pyruvate|m	PDHA2 PDHB PDHA1 PDHX DLAT DLD
