	id	from	to	nameslabel
0	MAR03905	ethanol|ic	acetaldehyde|ic	ADHFE1 ADH6 ZADH2 ADH1A ADH7 ADH1B ADH5 ADH4 ADH1C
1	MAR03907	ethanol|ic	acetaldehyde|ic	AKR1A1
2	MAR04133	acetate|ic	acetyl adenylate|ic	ACSS2
3	MAR04281	pyruvate|ic	L-lactate|ic	LDHB LDHA UEVLD LDHC LDHAL6A LDHAL6B
4	MAR04388	pyruvate|ic	L-lactate|ic	LDHB LDHA UEVLD LDHC LDHAL6A LDHAL6B
5	MAR04283	acetaldehyde|ic	acetate|ic	ALDH3B1 ALDH3A1 ALDH3B2 ALDH1A3
6	MAR08357	acetaldehyde|ic	acetate|ic	ALDH3A2 ALDH2 ALDH1B1 ALDH9A1 ALDH7A1
7	MAR04379	fructose-6-phosphate|ic	fructose-1,6-bisphosphate|ic	PFKP PFKL PFKM
8	MAR04301	UTP|ic	fructose-1,6-bisphosphate|ic	PFKP PFKL PFKM CFAP410
9	MAR04301	fructose-6-phosphate|ic	fructose-1,6-bisphosphate|ic	PFKP PFKL PFKM CFAP410
10	MAR04355	DHAP|ic	sedoheptulose-1,7-bisphosphate|ic	ALDOC ALDOB ALDOA 
11	MAR04355	erythrose-4-phosphate|ic	sedoheptulose-1,7-bisphosphate|ic	ALDOC ALDOB ALDOA 
12	MAR04358	PEP|ic	pyruvate|ic	PKM TMEM54 PKLR HCN3
13	MAR04360	methylglyoxal|ic	pyruvate|ic	ZADH2
14	MAR04363	2-phospho-D-glycerate|ic	PEP|ic	ENO1 ENO3 ENO2
15	MAR04365	2-phospho-D-glycerate|ic	3-phospho-D-glycerate|ic	PGAM2 PGAM1 BPGM PGAM4
16	MAR04368	1,3-bisphospho-D-glycerate|ic	3-phospho-D-glycerate|ic	CRISP3 PGK1 MIA3 PGK2
17	MAR04370	1,3-bisphospho-D-glycerate|ic	3-phospho-D-glycerate|ic	ACYP1 ACYP2
18	MAR04371	1,3-bisphospho-D-glycerate|ic	2,3-bisphospho-D-glycerate|ic	PGAM2 PGAM1 BPGM PGAM4
19	MAR04372	2,3-bisphospho-D-glycerate|ic	3-phospho-D-glycerate|ic	BPGM
20	MAR04373	1,3-bisphospho-D-glycerate|ic	GAP|ic	GAPDHS GAPDH
21	MAR04375	DHAP|ic	fructose-1,6-bisphosphate|ic	ALDOC ALDOB ALDOA 
22	MAR04375	GAP|ic	fructose-1,6-bisphosphate|ic	ALDOC ALDOB ALDOA 
23	MAR04377	fructose-1,6-bisphosphate|ic	fructose-6-phosphate|ic	FBP2 FBP1
24	MAR04381	fructose-6-phosphate|ic	glucose-6-phosphate|ic	GPI
25	MAR04391	DHAP|ic	GAP|ic	TPI1
26	MAR04394	glucose|ic	glucose-6-phosphate|ic	GCK HKDC1 HK1 HK2 HK3
27	MAR04396	glucose-1-phosphate|ic	glucose-6-phosphate|ic	PGM1 PGM5 PGM2
28	MAR04521	glucose-6-phosphate|ic	glucose|ic	G6PC1 G6PC3 G6PC2
29	MAR06410	lipoamide|ic	S-acetyldihydrolipoamide|ic	PDHA1 PDHB PDHA2 PDHB
30	MAR06410	pyruvate|ic	S-acetyldihydrolipoamide|ic	PDHA1 PDHB PDHA2 PDHB
31	MAR06412	S-acetyldihydrolipoamide|ic	dihydrolipoamide|ic	DLD PDHA1 DLAT PDHB DLD DLAT PDHA2 PDHB
32	MAR07745	beta-D-glucose|ic	glucose|ic	GALM
33	MAR07747	glucose|ic	glucose-6-phosphate|ic	ADPGK
34	MAR08360	ethanol|ic	acetaldehyde|ic	CAT
35	MAR08652	glucose|ic	NH3|ic	G6PC1 G6PC3 G6PC2
36	MAR08652	glucose|ic	glucose-6-phosphate|ic	G6PC1 G6PC3 G6PC2
37	MAR08652	carbamoyl-phosphate|ic	NH3|ic	G6PC1 G6PC3 G6PC2
38	MAR08652	carbamoyl-phosphate|ic	glucose-6-phosphate|ic	G6PC1 G6PC3 G6PC2
39	MAR08757	ethanol|ic	acetaldehyde|ic	CYP2E1
40	MAR03989	maltose|e	glucose|e	CAPN3 GAA GANC MGAM
41	MAR04122	UDP-glucose|ic	UDP-glucuronate|ic	UGDH
42	MAR04837	trehalose|e	glucose|e	TREH PGGHG
43	MAR05395	glycogenin|ic	glycogenin G8|ic	GYG2 GYG1
44	MAR05395	UDP-glucose|ic	glycogenin G8|ic	GYG2 GYG1
45	MAR05396	glycogenin G8|ic	glycogenin G11|ic	GYG2 GYS1 GYS2 GYG1
46	MAR05396	UDP-glucose|ic	glycogenin G11|ic	GYG2 GYS1 GYS2 GYG1
47	MAR09727	UDP-glucose|ic	glycogen|ic	GYS1 GYS2 PPP1R3C PPP1R3B
48	MAR05397	glycogenin G11|ic	glycogenin G4G7|ic	GBE1
49	MAR05398	glycogenin G4G7|ic	glycogenin G4G4|ic	PYGM PYGL PYGB
50	MAR05398	glycogenin G4G7|ic	glucose-1-phosphate|ic	PYGM PYGL PYGB
51	MAR05399	glycogenin G4G4|ic	glycogenin G7G1|ic	AGL
52	MAR05400	glycogenin G7G1|ic	glucose|ic	AGL
53	MAR05400	glycogenin G7G1|ic	glycogenin G7|ic	AGL
54	MAR05401	glycogenin G7|ic	glycogenin|ic	PYGM PYGL PYGB
55	MAR05401	glycogenin G7|ic	glucose-1-phosphate|ic	PYGM PYGL PYGB
56	MAR08568	maltodecaose|ic	maltononaose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
57	MAR08568	maltodecaose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
58	MAR08569	maltodecaose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
59	MAR08569	maltodecaose|e	maltononaose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
60	MAR08570	maltononaose|ic	maltoheptaose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
61	MAR08570	maltononaose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
62	MAR08571	maltononaose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
63	MAR08571	maltononaose|e	maltoheptaose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
64	MAR08572	maltoheptaose|ic	maltohexaose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
65	MAR08572	maltoheptaose|ic	fructose|ic	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
66	MAR08573	maltoheptaose|e	glucose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
67	MAR08573	maltoheptaose|e	maltohexaose|e	LYZL1 AMY1B AMY1C AMY1A AMY2B AMY2A
