,ensid,symbol
0,ENSG00000000419,DPM1
1,ENSG00000000938,FGR
2,ENSG00000001036,FUCA2
3,ENSG00000001084,GCLC
4,ENSG00000001630,CYP51A1
5,ENSG00000002549,LAP3
6,ENSG00000002587,HS3ST1
7,ENSG00000003137,CYP26B1
8,ENSG00000003987,MTMR7
9,ENSG00000003989,SLC7A2
10,ENSG00000004455,AK2
11,ENSG00000004468,CD38
12,ENSG00000004660,CAMKK1
13,ENSG00000004700,RECQL
14,ENSG00000004779,NDUFAB1
15,ENSG00000004799,PDK4
16,ENSG00000004864,SLC25A13
17,ENSG00000004961,HCCS
18,ENSG00000005022,SLC25A5
19,ENSG00000005075,POLR2J
20,ENSG00000005249,PRKAR2B
21,ENSG00000005381,MPO
22,ENSG00000005469,CROT
23,ENSG00000005483,KMT2E
24,ENSG00000005882,PDK2
25,ENSG00000006432,MAP3K9
26,ENSG00000006530,AGK
27,ENSG00000006534,ALDH3B1
28,ENSG00000006625,GGCT
29,ENSG00000006695,COX10
30,ENSG00000006756,ARSD
31,ENSG00000006757,PNPLA4
32,ENSG00000006837,CDKL3
33,ENSG00000007001,UPP2
34,ENSG00000007047,MARK4
35,ENSG00000007168,PAFAH1B1
36,ENSG00000007264,MATK
37,ENSG00000007541,PIGQ
38,ENSG00000008086,CDKL5
39,ENSG00000008118,CAMK1G
40,ENSG00000008128,CDK11A
41,ENSG00000008130,NADK
42,ENSG00000008300,CELSR3
43,ENSG00000008311,AASS
44,ENSG00000008394,MGST1
45,ENSG00000008513,ST3GAL1
46,ENSG00000009413,REV3L
47,ENSG00000010219,DYRK4
48,ENSG00000010256,UQCRC1
49,ENSG00000010379,SLC6A13
50,ENSG00000010404,IDS
51,ENSG00000010671,BTK
52,ENSG00000010810,FYN
53,ENSG00000011052,NME1-NME2
54,ENSG00000011083,SLC6A7
55,ENSG00000011198,ABHD5
56,ENSG00000011376,LARS2
57,ENSG00000011405,PIK3C2A
58,ENSG00000011485,PPP5C
59,ENSG00000011566,MAP4K3
60,ENSG00000012232,EXTL3
61,ENSG00000012660,ELOVL5
62,ENSG00000012779,ALOX5
63,ENSG00000012983,MAP4K5
64,ENSG00000013288,MAN2B2
65,ENSG00000013375,PGM3
66,ENSG00000013441,CLK1
67,ENSG00000013503,POLR3B
68,ENSG00000013573,DDX11
69,ENSG00000014138,POLA2
70,ENSG00000014641,MDH1
71,ENSG00000014919,COX15
72,ENSG00000015532,XYLT2
73,ENSG00000016391,CHDH
74,ENSG00000016864,GLT8D1
75,ENSG00000017483,SLC38A5
76,ENSG00000018280,SLC11A1
77,ENSG00000018510,AGPS
78,ENSG00000018625,ATP1A2
79,ENSG00000019186,CYP24A1
80,ENSG00000021574,SPAST
81,ENSG00000021826,CPS1
82,ENSG00000023041,ZDHHC6
83,ENSG00000023228,NDUFS1
84,ENSG00000023330,ALAS1
85,ENSG00000023572,GLRX2
86,ENSG00000023697,DERA
87,ENSG00000023909,GCLM
88,ENSG00000025423,HSD17B6
89,ENSG00000025708,TYMP
90,ENSG00000025800,KPNA6
91,ENSG00000026103,FAS
92,ENSG00000026652,AGPAT4
93,ENSG00000027075,PRKCH
94,ENSG00000027847,B4GALT7
95,ENSG00000028116,VRK2
96,ENSG00000030066,NUP160
97,ENSG00000031698,SARS1
98,ENSG00000032444,PNPLA6
99,ENSG00000033011,ALG1
100,ENSG00000033100,CHPF2
101,ENSG00000033170,FUT8
102,ENSG00000033627,ATP6V0A1
103,ENSG00000033867,SLC4A7
104,ENSG00000034152,MAP2K3
105,ENSG00000035664,DAPK2
106,ENSG00000035687,ADSS2
107,ENSG00000036530,CYP46A1
108,ENSG00000037757,MRI1
109,ENSG00000038002,AGA
110,ENSG00000038210,PI4K2B
111,ENSG00000038274,MAT2B
112,ENSG00000038382,TRIO
113,ENSG00000039123,MTREX
114,ENSG00000039523,RIPOR1
115,ENSG00000040199,PHLPP2
116,ENSG00000040933,INPP4A
117,ENSG00000044446,PHKA2
118,ENSG00000044524,EPHA3
119,ENSG00000047230,CTPS2
120,ENSG00000047249,ATP6V1H
121,ENSG00000047315,POLR2B
122,ENSG00000047457,CP
123,ENSG00000048392,RRM2B
124,ENSG00000049239,H6PD
125,ENSG00000049860,HEXB
126,ENSG00000050438,SLC4A8
127,ENSG00000050748,MAPK9
128,ENSG00000051382,PIK3CB
129,ENSG00000052802,MSMO1
130,ENSG00000053371,AKR7A2
131,ENSG00000054148,PHPT1
132,ENSG00000054179,ENTPD2
133,ENSG00000054267,ARID4B
134,ENSG00000054356,PTPRN
135,ENSG00000054392,HHAT
136,ENSG00000054793,ATP9A
137,ENSG00000054983,GALC
138,ENSG00000055332,EIF2AK2
139,ENSG00000055609,KMT2C
140,ENSG00000056998,GYG2
141,ENSG00000057252,SOAT1
142,ENSG00000058063,ATP11B
143,ENSG00000058091,CDK14
144,ENSG00000058404,CAMK2B
145,ENSG00000058600,POLR3E
146,ENSG00000058729,RIOK2
147,ENSG00000058866,DGKG
148,ENSG00000059377,TBXAS1
149,ENSG00000059573,ALDH18A1
150,ENSG00000059758,CDK17
151,ENSG00000059804,SLC2A3
152,ENSG00000060069,CTDP1
153,ENSG00000060140,STYK1
154,ENSG00000060237,WNK1
155,ENSG00000060642,PIGV
156,ENSG00000060656,PTPRU
157,ENSG00000060762,MPC1
158,ENSG00000060971,ACAA1
159,ENSG00000060982,BCAT1
160,ENSG00000061918,GUCY1B1
